"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-20.local",,,,"User:","pg27752"
"Cmdline:","dstat -cdmrn --integer --output OMP_dstat.txt",,,,"Date:","24 Mar 2015 15:21:27 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"io/total",,"net/total",
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","read","writ","recv","send"
33.620,0.609,65.619,0.141,0.000,0.012,3954.719,48737.480,1601187840.0,139960320.0,73379840.0,65844006912.0,0.251,3.854,0.0,0.0
95.315,0.125,4.560,0.0,0.0,0.0,0.0,0.0,1601310720.0,139960320.0,73383936.0,65843879936.0,0.0,0.0,0.0,0.0
95.875,0.062,4.062,0.0,0.0,0.0,0.0,0.0,1601310720.0,139960320.0,73383936.0,65843879936.0,0.0,0.0,2517.0,6548.0
96.280,0.094,3.626,0.0,0.0,0.0,0.0,0.0,1601183744.0,139960320.0,73383936.0,65844006912.0,0.0,0.0,0.0,0.0
96.499,0.125,3.376,0.0,0.0,0.0,0.0,0.0,1600671744.0,139960320.0,73383936.0,65844518912.0,0.0,0.0,653.0,4483.0
96.655,0.094,3.251,0.0,0.0,0.0,0.0,0.0,1600671744.0,139960320.0,73383936.0,65844518912.0,0.0,0.0,0.0,0.0
96.656,0.062,3.281,0.0,0.0,0.0,0.0,0.0,1600544768.0,139960320.0,73383936.0,65844645888.0,0.0,0.0,924.0,897.0
96.592,0.094,3.315,0.0,0.0,0.0,0.0,0.0,1600643072.0,139960320.0,73383936.0,65844547584.0,0.0,0.0,0.0,0.0
96.531,0.094,3.375,0.0,0.0,0.0,0.0,0.0,1600507904.0,139960320.0,73383936.0,65844682752.0,0.0,0.0,1653.0,5677.0
96.560,0.063,3.377,0.0,0.0,0.0,0.0,0.0,1600499712.0,139960320.0,73383936.0,65844690944.0,0.0,0.0,0.0,0.0
96.472,0.156,3.372,0.0,0.0,0.0,0.0,0.0,1600638976.0,139960320.0,73388032.0,65844547584.0,0.0,0.0,1847.0,5523.0
96.532,0.062,3.405,0.0,0.0,0.0,0.0,0.0,1600638976.0,139960320.0,73388032.0,65844547584.0,0.0,0.0,0.0,0.0
96.123,0.094,3.784,0.0,0.0,0.0,0.0,0.0,1600643072.0,139960320.0,73392128.0,65844539392.0,0.0,0.0,120.0,0.0
92.084,0.156,7.760,0.0,0.0,0.0,0.0,0.0,1600626688.0,139960320.0,73396224.0,65844551680.0,0.0,0.0,0.0,0.0
96.689,0.062,3.249,0.0,0.0,0.0,0.0,0.0,1600634880.0,139960320.0,73396224.0,65844543488.0,0.0,0.0,991.0,4897.0
96.654,0.063,3.283,0.0,0.0,0.0,0.0,0.0,1600630784.0,139960320.0,73400320.0,65844543488.0,0.0,0.0,0.0,0.0
96.374,0.156,3.470,0.0,0.0,0.0,0.0,8192.0,1600499712.0,139960320.0,73404416.0,65844670464.0,0.0,2.0,66.0,4070.0
96.561,0.063,3.376,0.0,0.0,0.0,0.0,0.0,1600499712.0,139960320.0,73408512.0,65844666368.0,0.0,0.0,0.0,0.0
96.561,0.094,3.345,0.0,0.0,0.0,0.0,0.0,1600499712.0,139960320.0,73408512.0,65844666368.0,0.0,0.0,266.0,134.0
96.155,0.125,3.720,0.0,0.0,0.0,0.0,0.0,1600749568.0,139960320.0,73412608.0,65844412416.0,0.0,0.0,0.0,0.0
96.748,0.031,3.221,0.0,0.0,0.0,0.0,0.0,1600745472.0,139960320.0,73416704.0,65844412416.0,0.0,0.0,2853.0,5952.0
