Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-20.local) 	03/24/15 	_x86_64_	(32 CPU)

15:21:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
15:21:37     all   96.57    0.00    0.06    0.00    0.00    0.00    0.00    0.00    3.37
15:21:37       0   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:37       1   98.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.01
15:21:37       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:37       3   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.00
15:21:37       4  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:37       5   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
15:21:37       6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:37       7   96.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.03
15:21:37       8   90.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.09
15:21:37       9   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
15:21:37      10   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:37      11   98.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.98
15:21:37      12   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
15:21:37      13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:37      14   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.00
15:21:37      15   89.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   11.00
15:21:37      16  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:37      17   98.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.98
15:21:37      18  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:37      19   88.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00   11.88
15:21:37      20  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:37      21   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
15:21:37      22   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
15:21:37      23   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
15:21:37      24   96.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.96
15:21:37      25   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:37      26   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
15:21:37      27   98.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.98
15:21:37      28   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
15:21:37      29   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
15:21:37      30   88.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   12.00
15:21:37      31   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00

15:21:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
15:21:38     all   96.50    0.00    0.06    0.00    0.00    0.00    0.00    0.00    3.44
15:21:38       0   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:38       1   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:38       2   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00
15:21:38       3   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.00
15:21:38       4  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:38       5   96.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.00
15:21:38       6   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
15:21:38       7   96.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.00
15:21:38       8   82.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   18.00
15:21:38       9   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
15:21:38      10   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
15:21:38      11   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
15:21:38      12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15:21:38      13   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
15:21:38      14   96.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.96
15:21:38      15   88.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00   11.88
15:21:38      16  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
