"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-1.local",,,,"User:","pg27752"
"Cmdline:","dstat -tcdmrsn --integer --output MPI_io3.txt",,,,"Date:","20 Mar 2015 01:27:04 WET"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"io/total",,"swap",,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","read","writ","used","free","recv","send"
20-03 01:27:04,0.912,0.077,98.997,0.013,0.000,0.001,206.878,1079.629,942714880.0,195039232.0,497065984.0,66019414016.0,0.013,0.201,0.0,1048567808.0,0.0,0.0
20-03 01:27:05,0.0,0.062,99.938,0.0,0.0,0.0,0.0,0.0,943067136.0,195039232.0,497143808.0,66018983936.0,0.0,0.0,0.0,1048567808.0,3020.0,4190.0
20-03 01:27:06,0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,943067136.0,195039232.0,497143808.0,66018983936.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:07,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,942817280.0,195039232.0,497147904.0,66019229696.0,0.0,0.0,0.0,1048567808.0,1304.0,1056.0
20-03 01:27:08,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,942690304.0,195039232.0,497147904.0,66019356672.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:09,0.021,0.042,99.520,0.417,0.0,0.0,0.0,139264.0,941965312.0,195039232.0,497156096.0,66020073472.0,0.0,34.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:10,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,941834240.0,195039232.0,497160192.0,66020200448.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:11,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,941576192.0,195039232.0,497164288.0,66020454400.0,0.0,0.0,0.0,1048567808.0,3826.0,2116.0
20-03 01:27:12,0.209,0.292,99.479,0.0,0.0,0.021,0.0,0.0,945954816.0,195039232.0,497168384.0,66016071680.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:13,7.631,0.688,91.681,0.0,0.0,0.0,0.0,0.0,1054654464.0,195039232.0,508338176.0,65896202240.0,0.0,0.0,0.0,1048567808.0,44084.0,36244.0
20-03 01:27:14,8.335,0.042,91.623,0.0,0.0,0.0,0.0,0.0,1054654464.0,195039232.0,508338176.0,65896202240.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:15,8.337,0.021,91.642,0.0,0.0,0.0,0.0,0.0,1054900224.0,195039232.0,508346368.0,65895948288.0,0.0,0.0,0.0,1048567808.0,264.0,520.0
20-03 01:27:16,8.335,0.042,91.623,0.0,0.0,0.0,0.0,0.0,1054388224.0,195039232.0,508346368.0,65896460288.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:17,8.337,0.021,91.642,0.0,0.0,0.0,0.0,0.0,1054113792.0,195039232.0,508354560.0,65896726528.0,0.0,0.0,0.0,1048567808.0,572.0,902.0
20-03 01:27:18,8.354,0.042,91.188,0.417,0.0,0.0,0.0,73728.0,1053982720.0,195047424.0,508346368.0,65896857600.0,0.0,18.0,0.0,1048567808.0,0.0,0.0
