CPU;;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr
10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;;0;0;25;53;0;0;1;55;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;;0;0;0;0;0;0;0,99;56;0;0;0;0,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;;0;0;25,74;53;0;0;7;55;0;0;0;18,18;0,99;0;0;0;0;0;0,99;0;0;0;0;0,99;0;0;0;0;0;0;0,99;0
15;;0;0;24,24;53;0;0;1;55;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;;0;0;25,74;53,54;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;;0;0;0;0;0;0;6;58,42;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;;0;0;0;0;0;0;6,06;59,6;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;;0;0;1;0;0;0;7,07;59;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;;0;0;24,24;52,48;0;0;6,06;58;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;;0;0;25;53,54;0;0;0,98;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;;0;0;1,96;0;0;0;10,1;4,04;0;0;0,98;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;;0;0;26,26;53;0;0;6;3,03;0;0;1;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;;0;0;1,01;1;0;0;12;4;0;0;1;11,88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;;0;0;3;0;0;0;10;3,03;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;;0;0;27,55;53,06;0;0;2,02;0;0;0;1,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;;0;0;0;0;0;0;7;57,43;0;0;1,01;33,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;;0;0;5;0;0;0;1,01;55;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;;0;0;27;53;0;0;1,01;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;;0;0;27;53;0;0;1,01;55;0;0;0;12,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;;0;0;25,25;53,54;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;;0;0;25,74;52,53;0;0;1;0;0;0;0;11,88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;;0;0;26,26;52,48;0;0;1,01;0;0;0;0;12,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
all;;0;0,02;9,1;17,64;0,02;0;2,92;19,5;0;0;0,31;10,12;0;0;0,02;0;0;0,02;0;0,02;0;0,02;0;0,02;0;0,02;0;0;0;0,02;0;0
8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,02;0;0;0;0;0;1,01;0;0;0;0;0;0
21;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;;0;0;0;0;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;;0;0;0;0;0;0;6;59;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;;0;0;25,25;53,54;0;0;1;0;0;0;1,01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,99;0;0;0;0
26;;0;0;29,59;52,48;0;0;5,05;2,97;0;0;1,01;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;;0;0;0,99;0;0;0;6,06;58,42;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;;0;0;1,01;0,99;0;0;8,16;58;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;;0;0;26,73;52,53;0;0;1,01;0;0;0;0;12,87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;;0;0;1,01;0;0;0;5,05;2,97;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;;0;0;1,01;0;0;0;1;0;0;0;0;11,88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;;0;0;0;0;0;0;6;58,59;0;0;0;30,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
