Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-1.local) 	03/20/2015 	_x86_64_	(48 CPU)

11:26:15 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:26:16 PM  all    0.00    0.00    0.06    0.00    0.00    0.00    0.00    0.00   99.94
11:26:16 PM    0    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00   97.96
11:26:16 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM    3    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
11:26:16 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   24    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
11:26:16 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   37    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
11:26:16 PM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:16 PM   47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:26:16 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:26:17 PM  all    0.02    0.00    0.06    0.00    0.00    0.00    0.00    0.00   99.92
11:26:17 PM    0    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00   97.98
11:26:17 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:17 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:17 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:17 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:17 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:17 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:17 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:17 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:17 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
