"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-18.local",,,,"User:","pg27752"
"Cmdline:","dstat -cdmrn --integer --output OMP_dstat.txt",,,,"Date:","27 Mar 2015 18:45:40 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"io/total",,"net/total",
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","read","writ","recv","send"
27.126,2.033,70.716,0.108,0.000,0.017,15581.634,312819.852,905441280.0,216834048.0,215269376.0,66320990208.0,0.244,2.955,0.0,0.0
0.031,0.062,99.906,0.0,0.0,0.0,0.0,0.0,905461760.0,216834048.0,215273472.0,66320965632.0,0.0,0.0,0.0,0.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,0.0,905461760.0,216834048.0,215273472.0,66320965632.0,0.0,0.0,1367.0,1240.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905605120.0,216834048.0,215273472.0,66320822272.0,0.0,0.0,0.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905478144.0,216834048.0,215277568.0,66320945152.0,0.0,0.0,1929.0,1631.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,0.0,905482240.0,216834048.0,215281664.0,66320936960.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905482240.0,216834048.0,215281664.0,66320936960.0,0.0,0.0,0.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905351168.0,216834048.0,215285760.0,66321063936.0,0.0,0.0,0.0,0.0
0.031,0.094,99.875,0.0,0.0,0.0,0.0,0.0,905318400.0,216834048.0,215285760.0,66321096704.0,0.0,0.0,302.0,252.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,0.0,905187328.0,216834048.0,215289856.0,66321223680.0,0.0,0.0,0.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905158656.0,216834048.0,215293952.0,66321248256.0,0.0,0.0,60.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905027584.0,216834048.0,215298048.0,66321375232.0,0.0,0.0,0.0,0.0
0.031,0.094,99.875,0.0,0.0,0.0,0.0,0.0,905027584.0,216834048.0,215298048.0,66321375232.0,0.0,0.0,60.0,0.0
0.031,0.094,99.250,0.625,0.0,0.0,0.0,12288.0,905158656.0,216834048.0,215302144.0,66321240064.0,0.0,3.0,0.0,0.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,905154560.0,216834048.0,215306240.0,66321240064.0,0.0,0.0,242.0,252.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905334784.0,216834048.0,215310336.0,66321055744.0,0.0,0.0,0.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905199616.0,216834048.0,215310336.0,66321190912.0,0.0,0.0,60.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905191424.0,216834048.0,215318528.0,66321190912.0,0.0,0.0,0.0,0.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,0.0,905191424.0,216834048.0,215318528.0,66321190912.0,0.0,0.0,120.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905187328.0,216834048.0,215322624.0,66321190912.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905187328.0,216834048.0,215322624.0,66321190912.0,0.0,0.0,0.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905183232.0,216834048.0,215326720.0,66321190912.0,0.0,0.0,0.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905179136.0,216834048.0,215330816.0,66321190912.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905183232.0,216834048.0,215334912.0,66321182720.0,0.0,0.0,0.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905183232.0,216834048.0,215334912.0,66321182720.0,0.0,0.0,60.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905179136.0,216834048.0,215339008.0,66321182720.0,0.0,0.0,0.0,0.0
0.031,0.094,99.875,0.0,0.0,0.0,0.0,0.0,905175040.0,216834048.0,215343104.0,66321182720.0,0.0,0.0,182.0,252.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905170944.0,216834048.0,215347200.0,66321182720.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905162752.0,216834048.0,215347200.0,66321190912.0,0.0,0.0,60.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905285632.0,216834048.0,215351296.0,66321063936.0,0.0,0.0,0.0,0.0
0.031,0.094,99.875,0.0,0.0,0.0,0.0,0.0,905281536.0,216834048.0,215355392.0,66321063936.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905277440.0,216834048.0,215359488.0,66321063936.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905277440.0,216834048.0,215359488.0,66321063936.0,0.0,0.0,60.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905289728.0,216834048.0,215363584.0,66321047552.0,0.0,0.0,0.0,0.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,0.0,905285632.0,216834048.0,215367680.0,66321047552.0,0.0,0.0,272.0,4244.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905281536.0,216834048.0,215371776.0,66321047552.0,0.0,0.0,0.0,0.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,0.0,905269248.0,216834048.0,215375872.0,66321055744.0,0.0,0.0,0.0,0.0
0.031,0.094,99.875,0.0,0.0,0.0,0.0,0.0,905265152.0,216834048.0,215379968.0,66321055744.0,0.0,0.0,0.0,0.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,0.0,905261056.0,216834048.0,215384064.0,66321055744.0,0.0,0.0,662.0,107962.0
0.031,0.094,99.875,0.0,0.0,0.0,0.0,0.0,905256960.0,216834048.0,215388160.0,66321055744.0,0.0,0.0,0.0,0.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,0.0,905256960.0,216834048.0,215388160.0,66321055744.0,0.0,0.0,0.0,0.0
0.031,0.094,99.875,0.0,0.0,0.0,0.0,0.0,905375744.0,216834048.0,215396352.0,66320928768.0,0.0,0.0,0.0,0.0
0.031,0.125,99.812,0.0,0.0,0.031,0.0,0.0,905375744.0,216834048.0,215396352.0,66320928768.0,0.0,0.0,310.0,794.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905383936.0,216834048.0,215396352.0,66320920576.0,0.0,0.0,0.0,0.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,4096.0,905379840.0,216834048.0,215400448.0,66320920576.0,0.0,1.0,0.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905375744.0,216834048.0,215404544.0,66320920576.0,0.0,0.0,0.0,0.0
0.031,0.094,99.875,0.0,0.0,0.0,0.0,0.0,905371648.0,216834048.0,215408640.0,66320920576.0,0.0,0.0,174.0,252.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905363456.0,216834048.0,215408640.0,66320928768.0,0.0,0.0,0.0,0.0
0.031,0.094,99.875,0.0,0.0,0.0,0.0,0.0,905359360.0,216834048.0,215412736.0,66320928768.0,0.0,0.0,182.0,252.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,0.0,905347072.0,216834048.0,215416832.0,66320936960.0,0.0,0.0,0.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905342976.0,216834048.0,215420928.0,66320936960.0,0.0,0.0,683.0,638.0
0.031,0.125,99.844,0.0,0.0,0.0,0.0,0.0,905342976.0,216834048.0,215420928.0,66320936960.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905338880.0,216834048.0,215425024.0,66320936960.0,0.0,0.0,60.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905342976.0,216834048.0,215429120.0,66320928768.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905342976.0,216834048.0,215429120.0,66320928768.0,0.0,0.0,0.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905338880.0,216834048.0,215433216.0,66320928768.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905326592.0,216834048.0,215437312.0,66320936960.0,0.0,0.0,0.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905322496.0,216834048.0,215441408.0,66320936960.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905322496.0,216834048.0,215441408.0,66320936960.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905314304.0,216834048.0,215449600.0,66320936960.0,0.0,0.0,0.0,0.0
0.031,0.094,99.875,0.0,0.0,0.0,0.0,0.0,905449472.0,216834048.0,215449600.0,66320801792.0,0.0,0.0,182.0,12776.0
0.031,0.094,99.875,0.0,0.0,0.0,0.0,0.0,905445376.0,216834048.0,215453696.0,66320801792.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905445376.0,216834048.0,215453696.0,66320801792.0,0.0,0.0,0.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905457664.0,216834048.0,215457792.0,66320785408.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905453568.0,216834048.0,215461888.0,66320785408.0,0.0,0.0,544.0,7816.0
0.031,0.125,99.844,0.0,0.0,0.0,0.0,0.0,905449472.0,216834048.0,215465984.0,66320785408.0,0.0,0.0,0.0,0.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,0.0,905449472.0,216834048.0,215465984.0,66320785408.0,0.0,0.0,0.0,0.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,0.0,905445376.0,216834048.0,215470080.0,66320785408.0,0.0,0.0,0.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905424896.0,216834048.0,215474176.0,66320801792.0,0.0,0.0,0.0,0.0
0.031,0.094,99.875,0.0,0.0,0.0,0.0,0.0,905420800.0,216834048.0,215478272.0,66320801792.0,0.0,0.0,0.0,0.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,0.0,905420800.0,216834048.0,215478272.0,66320801792.0,0.0,0.0,60.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905416704.0,216834048.0,215482368.0,66320801792.0,0.0,0.0,0.0,0.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,0.0,905412608.0,216834048.0,215486464.0,66320801792.0,0.0,0.0,0.0,0.0
0.031,0.063,99.374,0.532,0.0,0.0,0.0,12288.0,905416704.0,216834048.0,215490560.0,66320793600.0,0.0,3.0,0.0,0.0
0.0,0.094,99.906,0.0,0.0,0.0,0.0,0.0,905416704.0,216834048.0,215490560.0,66320793600.0,0.0,0.0,1050.0,112096.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905535488.0,216834048.0,215498752.0,66320666624.0,0.0,0.0,0.0,0.0
0.031,0.094,99.875,0.0,0.0,0.0,0.0,0.0,905523200.0,216834048.0,215502848.0,66320674816.0,0.0,0.0,0.0,0.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,905523200.0,216834048.0,215502848.0,66320674816.0,0.0,0.0,0.0,0.0
0.031,0.063,99.875,0.0,0.0,0.031,0.0,0.0,905519104.0,216834048.0,215506944.0,66320674816.0,0.0,0.0,182.0,252.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905515008.0,216834048.0,215511040.0,66320674816.0,0.0,0.0,0.0,0.0
0.031,0.094,99.875,0.0,0.0,0.0,0.0,0.0,905510912.0,216834048.0,215515136.0,66320674816.0,0.0,0.0,60.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905506816.0,216834048.0,215519232.0,66320674816.0,0.0,0.0,0.0,0.0
0.031,0.063,99.906,0.0,0.0,0.0,0.0,0.0,905506816.0,216834048.0,215519232.0,66320674816.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,905510912.0,216834048.0,215523328.0,66320666624.0,0.0,0.0,0.0,0.0
