CPU %usr %nice %sys %iowait %irq %soft %steal %guest %idle 
all 0.03 0.00 0.09 0.00 0.00 0.00 0.00 0.00 99.87
0 0.00 0.00 1.02 0.00 0.00 0.00 0.00 0.00 98.98
1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
5 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
9 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
11 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
12 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
13 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
14 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
15 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
16 0.00 0.00 1.02 0.00 0.00 0.00 0.00 0.00 98.98
17 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
18 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
19 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
20 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
21 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
22 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
23 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
24 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
25 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
26 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
27 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
28 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
