"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-1.local",,,,"User:","pg27752"
"Cmdline:","dstat -cdmrn --integer --output SER_ep.txt",,,,"Date:","20 Mar 2015 14:02:36 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"io/total",,"net/total",
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","read","writ","recv","send"
0.897,0.077,99.012,0.013,0.000,0.001,203.620,1080.534,931348480.0,195395584.0,478773248.0,66048716800.0,0.013,0.200,0.0,0.0
0.0,0.062,99.938,0.0,0.0,0.0,0.0,0.0,931115008.0,195395584.0,478777344.0,66048946176.0,0.0,0.0,3176.0,5496.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,931115008.0,195395584.0,478777344.0,66048946176.0,0.0,0.0,0.0,0.0
0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,931115008.0,195395584.0,478777344.0,66048946176.0,0.0,0.0,1800.0,1380.0
0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,931115008.0,195395584.0,478777344.0,66048946176.0,0.0,0.0,0.0,0.0
0.021,0.042,99.917,0.0,0.0,0.021,0.0,0.0,931106816.0,195395584.0,478777344.0,66048954368.0,0.0,0.0,720.0,664.0
0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,931106816.0,195395584.0,478777344.0,66048954368.0,0.0,0.0,0.0,0.0
0.021,0.063,99.917,0.0,0.0,0.0,0.0,4096.0,930922496.0,195395584.0,478777344.0,66049138688.0,0.0,1.0,900.0,570.0
0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,930922496.0,195395584.0,478777344.0,66049138688.0,0.0,0.0,0.0,0.0
0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,931614720.0,195395584.0,478777344.0,66048446464.0,0.0,0.0,600.0,342.0
0.021,0.042,99.937,0.0,0.0,0.0,0.0,0.0,931614720.0,195395584.0,478777344.0,66048446464.0,0.0,0.0,0.0,0.0
0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,931872768.0,195395584.0,478781440.0,66048184320.0,0.0,0.0,704.0,682.0
0.021,0.042,99.937,0.0,0.0,0.0,0.0,0.0,931745792.0,195395584.0,478781440.0,66048311296.0,0.0,0.0,0.0,0.0
1.815,0.063,98.039,0.083,0.0,0.0,0.0,0.0,933572608.0,195395584.0,480018432.0,66045247488.0,0.0,0.0,1284190.0,12218.0
2.106,0.042,97.852,0.0,0.0,0.0,0.0,0.0,933572608.0,195395584.0,480018432.0,66045247488.0,0.0,0.0,0.0,0.0
2.086,0.021,97.893,0.0,0.0,0.0,0.0,0.0,933437440.0,195395584.0,480026624.0,66045374464.0,0.0,0.0,310.0,658.0
2.087,0.042,97.871,0.0,0.0,0.0,0.0,0.0,933433344.0,195395584.0,480026624.0,66045378560.0,0.0,0.0,0.0,0.0
2.109,0.042,97.850,0.0,0.0,0.0,0.0,0.0,933158912.0,195395584.0,480034816.0,66045644800.0,0.0,0.0,0.0,0.0
2.066,0.063,97.871,0.0,0.0,0.0,0.0,0.0,933031936.0,195395584.0,480034816.0,66045771776.0,0.0,0.0,0.0,0.0
2.107,0.042,97.851,0.0,0.0,0.0,0.0,0.0,933859328.0,195395584.0,480043008.0,66044936192.0,0.0,0.0,60.0,0.0
0.417,0.042,99.541,0.0,0.0,0.0,0.0,0.0,933343232.0,195395584.0,480043008.0,66045452288.0,0.0,0.0,0.0,0.0
0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,933216256.0,195395584.0,480051200.0,66045571072.0,0.0,0.0,1250.0,3208.0
0.021,0.042,99.937,0.0,0.0,0.0,0.0,0.0,933089280.0,195395584.0,480051200.0,66045698048.0,0.0,0.0,0.0,0.0
1.314,0.230,98.289,0.167,0.0,0.0,0.0,0.0,1270980608.0,195395584.0,480776192.0,65707081728.0,0.0,0.0,745710.0,6050.0
2.085,0.042,97.873,0.0,0.0,0.0,0.0,0.0,1271107584.0,195395584.0,480776192.0,65706954752.0,0.0,0.0,0.0,0.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,1270837248.0,195395584.0,480784384.0,65707216896.0,0.0,0.0,318.0,534.0
2.086,0.042,97.873,0.0,0.0,0.0,0.0,0.0,1270837248.0,195395584.0,480784384.0,65707216896.0,0.0,0.0,0.0,0.0
0.500,0.063,99.416,0.0,0.0,0.021,0.0,0.0,933634048.0,195395584.0,480792576.0,66044411904.0,0.0,0.0,400.0,1610.0
0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,933494784.0,195395584.0,480792576.0,66044551168.0,0.0,0.0,0.0,0.0
0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,933486592.0,195395584.0,480800768.0,66044551168.0,0.0,0.0,60.0,0.0
1.522,0.042,98.394,0.042,0.0,0.0,0.0,0.0,956899328.0,195395584.0,480837632.0,66021101568.0,0.0,0.0,0.0,0.0
2.065,0.063,97.872,0.0,0.0,0.0,0.0,0.0,1002967040.0,195395584.0,480841728.0,65975029760.0,0.0,0.0,33696.0,3634.0
1.106,0.021,98.873,0.0,0.0,0.0,0.0,0.0,934203392.0,195395584.0,480845824.0,66043789312.0,0.0,0.0,0.0,0.0
0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,933822464.0,195395584.0,480849920.0,66044166144.0,0.0,0.0,1052.0,6240.0
0.0,0.042,99.896,0.063,0.0,0.0,0.0,0.0,933810176.0,195395584.0,480862208.0,66044166144.0,0.0,0.0,0.0,0.0
0.835,0.063,98.644,0.459,0.0,0.0,0.0,12288.0,981307392.0,195395584.0,481533952.0,65995997184.0,0.0,3.0,859440.0,7024.0
2.107,0.063,97.830,0.0,0.0,0.0,0.0,0.0,981307392.0,195395584.0,481533952.0,65995997184.0,0.0,0.0,0.0,0.0
2.088,0.042,97.870,0.0,0.0,0.0,0.0,0.0,981139456.0,195395584.0,481693696.0,65996005376.0,0.0,0.0,126.0,130.0
2.088,0.021,97.891,0.0,0.0,0.0,0.0,0.0,981012480.0,195395584.0,481693696.0,65996132352.0,0.0,0.0,0.0,0.0
2.108,0.042,97.850,0.0,0.0,0.0,0.0,0.0,980885504.0,195395584.0,481701888.0,65996251136.0,0.0,0.0,132.0,260.0
2.087,0.042,97.871,0.0,0.0,0.0,0.0,0.0,980885504.0,195395584.0,481701888.0,65996251136.0,0.0,0.0,0.0,0.0
2.109,0.021,97.871,0.0,0.0,0.0,0.0,0.0,980873216.0,195395584.0,481710080.0,65996255232.0,0.0,0.0,66.0,130.0
2.086,0.042,97.873,0.0,0.0,0.0,0.0,0.0,980873216.0,195395584.0,481710080.0,65996255232.0,0.0,0.0,0.0,0.0
2.106,0.063,97.831,0.0,0.0,0.0,0.0,0.0,980733952.0,195395584.0,481718272.0,65996386304.0,0.0,0.0,932.0,144870.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,980729856.0,195395584.0,481722368.0,65996386304.0,0.0,0.0,0.0,0.0
2.087,0.042,97.871,0.0,0.0,0.0,0.0,0.0,980455424.0,195395584.0,481726464.0,65996656640.0,0.0,0.0,66.0,130.0
2.108,0.042,97.850,0.0,0.0,0.0,0.0,0.0,980455424.0,195395584.0,481726464.0,65996656640.0,0.0,0.0,0.0,0.0
2.088,0.042,97.870,0.0,0.0,0.0,0.0,0.0,980443136.0,195395584.0,481738752.0,65996656640.0,0.0,0.0,314.0,512.0
2.088,0.042,97.871,0.0,0.0,0.0,0.0,0.0,980443136.0,195395584.0,481738752.0,65996656640.0,0.0,0.0,0.0,0.0
2.108,0.042,97.850,0.0,0.0,0.0,0.0,0.0,980209664.0,195395584.0,481746944.0,65996881920.0,0.0,0.0,66.0,130.0
2.086,0.063,97.851,0.0,0.0,0.0,0.0,0.0,980209664.0,195395584.0,481746944.0,65996881920.0,0.0,0.0,0.0,0.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,980074496.0,195395584.0,481755136.0,65997008896.0,0.0,0.0,192.0,260.0
2.108,0.042,97.851,0.0,0.0,0.0,0.0,0.0,980074496.0,195395584.0,481755136.0,65997008896.0,0.0,0.0,0.0,0.0
2.108,0.083,97.809,0.0,0.0,0.0,0.0,0.0,980185088.0,195395584.0,481763328.0,65996890112.0,0.0,0.0,308.0,382.0
2.087,0.042,97.871,0.0,0.0,0.0,0.0,0.0,980185088.0,195395584.0,481763328.0,65996890112.0,0.0,0.0,0.0,0.0
2.088,0.042,97.871,0.0,0.0,0.0,0.0,0.0,980176896.0,195395584.0,481771520.0,65996890112.0,0.0,0.0,192.0,260.0
2.107,0.042,97.851,0.0,0.0,0.0,0.0,0.0,980176896.0,195395584.0,481771520.0,65996890112.0,0.0,0.0,0.0,0.0
2.088,0.042,97.871,0.0,0.0,0.0,0.0,0.0,980029440.0,195395584.0,481783808.0,65997025280.0,0.0,0.0,126.0,130.0
2.108,0.042,97.851,0.0,0.0,0.0,0.0,0.0,980029440.0,195395584.0,481783808.0,65997025280.0,0.0,0.0,0.0,0.0
2.089,0.042,97.870,0.0,0.0,0.0,0.0,0.0,980029440.0,195395584.0,481792000.0,65997017088.0,0.0,0.0,320.0,666.0
2.087,0.042,97.871,0.0,0.0,0.0,0.0,0.0,980037632.0,195395584.0,481792000.0,65997008896.0,0.0,0.0,0.0,0.0
2.108,0.021,97.871,0.0,0.0,0.0,0.0,0.0,980029440.0,195395584.0,481800192.0,65997008896.0,0.0,0.0,66.0,3900.0
0.855,0.063,99.082,0.0,0.0,0.0,0.0,0.0,932487168.0,195395584.0,481800192.0,66044551168.0,0.0,0.0,0.0,0.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,932495360.0,195395584.0,481808384.0,66044534784.0,0.0,0.0,5974.0,14152.0
0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,932495360.0,195395584.0,481808384.0,66044534784.0,0.0,0.0,0.0,0.0
1.064,0.042,98.790,0.104,0.0,0.0,0.0,0.0,933548032.0,195395584.0,482144256.0,66043146240.0,0.0,0.0,724806.0,7426.0
2.086,0.063,97.851,0.0,0.0,0.0,0.0,0.0,933543936.0,195395584.0,482148352.0,66043146240.0,0.0,0.0,0.0,0.0
2.087,0.042,97.871,0.0,0.0,0.0,0.0,4096.0,933556224.0,195395584.0,482516992.0,66042765312.0,0.0,1.0,60.0,0.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,933556224.0,195395584.0,482516992.0,66042765312.0,0.0,0.0,0.0,0.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,933384192.0,195395584.0,482529280.0,66042925056.0,0.0,0.0,90.0,0.0
2.106,0.042,97.852,0.0,0.0,0.0,0.0,0.0,933257216.0,195395584.0,482529280.0,66043052032.0,0.0,0.0,0.0,0.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,933122048.0,195395584.0,482537472.0,66043179008.0,0.0,0.0,60.0,0.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,932990976.0,195395584.0,482541568.0,66043305984.0,0.0,0.0,0.0,0.0
2.107,0.042,97.851,0.0,0.0,0.0,0.0,0.0,932974592.0,195395584.0,482549760.0,66043314176.0,0.0,0.0,0.0,0.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,932974592.0,195395584.0,482549760.0,66043314176.0,0.0,0.0,0.0,0.0
2.086,0.042,97.851,0.0,0.0,0.021,0.0,0.0,932962304.0,195395584.0,482557952.0,66043318272.0,0.0,0.0,0.0,0.0
2.085,0.042,97.873,0.0,0.0,0.0,0.0,0.0,932962304.0,195395584.0,482557952.0,66043318272.0,0.0,0.0,0.0,0.0
2.106,0.063,97.832,0.0,0.0,0.0,0.0,0.0,933081088.0,195395584.0,482566144.0,66043191296.0,0.0,0.0,1462.0,166356.0
2.086,0.042,97.873,0.0,0.0,0.0,0.0,0.0,933081088.0,195395584.0,482566144.0,66043191296.0,0.0,0.0,0.0,0.0
2.106,0.063,97.832,0.0,0.0,0.0,0.0,0.0,933081088.0,195395584.0,482574336.0,66043183104.0,0.0,0.0,182.0,252.0
2.086,0.042,97.873,0.0,0.0,0.0,0.0,0.0,933081088.0,195395584.0,482574336.0,66043183104.0,0.0,0.0,0.0,0.0
2.086,0.042,97.872,0.0,0.0,0.0,0.0,0.0,933068800.0,195395584.0,482586624.0,66043183104.0,0.0,0.0,182.0,252.0
2.087,0.021,97.892,0.0,0.0,0.0,0.0,0.0,933076992.0,195395584.0,482586624.0,66043174912.0,0.0,0.0,0.0,0.0
2.087,0.063,97.850,0.0,0.0,0.0,0.0,0.0,933187584.0,195395584.0,482594816.0,66043056128.0,0.0,0.0,0.0,0.0
