compute-431-3
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri May  1 23:32:54 2015

	Excel chart generation enabled
	Auto Mode
	Command line used: /opt/iozone/bin/iozone -Ra -b 431_3.xls -f 431_3.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  610350 1232453  3022727  4564786 2923952 1526887 2133730  2067979  3588436  1452528  1357066 2772930  3588436
              64       8 1033216 1392258  4564786  5283570 3363612 1780008 2662899  2444640  4897948  1690338  1638743 3791156  4897948
              64      16 1083249 1562436  4018152  4897948 3791156 1049372 2662899  2379626  4018152  1599680  1828508 3958892  4018152
              64      32 1105556 1526887  4564786  4897948 4274062 1933893 2923952  2203800  4274062  1947927  2133730 3738358  4564786
              64      64 1124074 1690338  5860307  5860307 4564786 2052169 2467108  2133730  4018152  2067979  1780008 4018152  5283570
             128       4 1015251 1526043  2969325  4267461 3124872 1684006 2558895  2326073  3053774  1684006  1436229 3759450  3895854
             128       8 1471662 1504659  4596273  5325799 4557257 1967960 3297617  2969325  5847904  1778862  1755594 4135958  4557257
             128      16 1111981 1618028  4267461  4759253 3982553 2035099 2784517  2608629  4267461  1885042  1885042 3785961  4444086
             128      32 1175271 1705404  4717434  4934216 4596273 2004703 3297617  2499332  4407601  2286447  2132084 3867787  4717434
             128      64 1048974 1684006  4889281  5847904 4934216 2166499 3560017  2453642  4407601  1858934  2920861 4135958  6727225
