compute-431-5
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Thu Apr 30 22:49:07 2015

	Excel chart generation enabled
	Auto Mode
	Command line used: /opt/iozone/bin/iozone -Ra -b 431_5.xls -f 431_5.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  376589 1330167  2662899  4274062 3022727 1599680 1991276  2203800  3541098  1492919  1452528 2689580  3791156
              64       8 1045286 1599680  4018152  5860307 4018152 1768283 2772930  2052169  4897948  1879725  1780008 3541098  4274062
              64      16 1083249 1638743  4564786  5735102 4564786 2067979 3057153  2133730  3738358  1638743  2006158 3541098  4897948
              64      32 1119387 1679761  4274062  6421025 4897948 1933893 3203069  2467108  4564786  1648808  2689580 3791156  5389653
              64      64 1143223 1562436  5735102  6421025 4988978 2006158 3363612  2133730  4018152  2203800  1780008 4018152  4564786
             128       4 1022989 1504659  4104338  3759450 3277486 1684006 2843510  2166499  3199360  1755594  1543594 3445772  3759450
             128       8 1085013 1663139  4267461  5847904 3468030 2098744 2985839  2920861  5545860  1852520  1802755 4267461  4557257
             128      16 1152564 1663139  4934216  4596273 4717434 2175277 3657016  2920861  4557257  2211113  1997245 3785961  5325799
             128      32 1152564 1802755  5122535  6114306 4444086 2098744 3759450  2969325  4135958  2511022  2132084 3759450  5545860
             128      64 1332828 1827299  5603747  5784891 4759253 2420455 3982553  2843510  5122535  2004703  3199360 4717434  4934216
             128     128 1303699 1778862  6114306  6406138 5603747 2058509 3536566  1939522  4759253  2420455  2132084 4557257  5603747
             256       4 1128110 1489641  3705040  4652146 3087188 1814348 2812272  2345409  3245838  1752173  1588832 3756894  3950402
             256       8 1202660 1732384  4929815  5687020 4572895 2170027 3935921  2911402  4572895  2152625  1829808 4672389  5320671
             256      16 1226004 1855098  3994490  4572895 4907284 2205688 4197489  2692393  6073004  2223962  1897721 3935921  5569035
             256      32 1312954 1842366  5320671  6073004 5347168 2486631 3717869  3087188  5810112  2210228  2045979 4117018  5687020
             256      64 1327564 1805197  5569035  5810112 5687020 2509882 3717869  3275543  6073004  2639446  2413957 4264168  5687020
             256     128 1368162 2366082  5938650  7735574 5569035 2943325 4350555  5217259  6073004  2486631  3123106 5217259  6107548
             256     256 1369908 1829808  5810112  5810112 5569035 2463808 4332998  2509882  4840911  2480886  2247235 4734192  5810112
             512       4 1057974 1541840  3941742  4099771 3459188 1741948 3081897  2304647  3158966  1741948  1523247 3604335  3905895
             512       8 1207940 1729323  2975154  5684095 4571003 2114069 4030519  2922519  4099771  2024389  1783912 4131319  5019764
             512      16 1340664 1821745  4784885  4742616 4411377 2394591 4457157  2811557  5067142  2097550  1827947 3941742  4532414
             512      32 1347393 1783912  4660280  5566231 5509113 2497638 3822466  3346002  4784885  2275345  1977778 4163357  5439343
             512      64 1316016 1924603  4973263  5822804 5807059 2600470 4871723  3510074  5968453  2438090  2143612 4375425  5951911
             512     128 1383861 1869318  5331314  6104175 5624545 2449212 4732165  3177664  5115422  2739816  2460437 4827914  5886650
             512     256 1380303 1945526  5278892  5566231 4827914 2535981 4650188  2926501  5453155  2285029  3388236 4882800  5384786
             512     512 1402845 1842059  5886650  5951911 5822804 2486072 4701087  2474613  4927617  2402629  2198475 4660280  5886650
            1024       4 1154621 2198257  4920874  5751117 5336651 2884840 4162573  4249053  5226256  2547723  1921852 4300102  4810640
            1024       8 1267398 1718120  4674510  5536137 4594502 2182617 3894582  3436508  4715569  2019445  2573677 6016997  7020149
            1024      16 1319577 2565989  5444898  7811791 6963241 3304314 4741598  3984917  5472650  2744728  2064088 4972145  6327241
