compute-431-5
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri May  1 22:54:07 2015

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 8388608 kilobytes.
	Command line used: /opt/iozone/bin/iozone -Ra -g 8G -b 431_5_8.xls -f 431_5_8.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  353294 1249666  3363612  4564786 2561267 1562436 2133730  1879725  3738358  1330167  1363961 3057153  3541098
              64       8  842003 1484662  4564786  4988978 3541098 1780008 2561267  2298136  4564786  1734015  1780008 3588436  4564786
              64      16 1083249 1599680  4018152  4643754 3541098 1828508 2561267  1828508  3791156  1892980  1933893 4274062  4274062
              64      32 1002351 1526887  3958892  4564786 4018152 1879725 2467108  2133730  4564786  2006158  2662899 3588436  4274062
              64      64 1087638 1518251  5283570  6421025 4274062 2203800 2923952  2203800  3791156  1991276  1780008 3738358  5389653
             128       4 1007629 1336145  4012317  4596273 3359523 1409828 2843510  2066432  3199360  1579934  1543594 3380677  3759450
             128       8 1015251 1561553  4444086  4934216 3867787 1827299 3277486  2843510  5325799  1967960  1732927 4407601  5325799
             128      16 1306873 1561553  4889281  4557257 4012317 2166499 3036502  2905056  4407601  1852520  1663139 3657016  4407601
             128      32 1185654 1521718  4557257  4267461 4407601 2098744 3359523  2969325  5325799  2202044  2238774 3785961  4717434
             128      64 1152564 1663139  4717434  6330599 4759253 2132084 3560017  2784517  4267461  1939522  2843510 4889281  4934216
             128     128 1085013 2286447  5325799  6727225 5122535 2238774 3199360  2098744  4407601  2326073  2238774 4557257  5545860
             256       4 1481420 1461259  3654598  4070199 3197509 1924938 3123106  2911402  3123106  2187712  1790149 3605511  3879045
             256       8 1340826 1707589  4840911  5022044 4054829 1868008 3557725  2639446  4572895  2135500  1775350 4264168  4197489
             256      16 1256123 1639786  3994490  4652146 4132864 2223962 3465855  2665657  4652146  2000242  1802167 3810220  4070199
             256      32 1298662 1778290  4755158  5117791 5455847 2392442 3654598  3123106  4572895  2305128  2034350 4907284  5687020
             256      64 1300235 1829808  5569035  5687020 4755158 2557711 3879045  3285566  4929815  2557711  2435861 4819184  5810112
             256     128 1298662 1814348  5242734  5841722 5455847 2419396 3770085  2613746  5455847  2266207  3326279 4652146  4907284
             256     256 1398455 1970871  5569035  5841722 5569035 2509882 4264168  2486631  4840911  2392442  2266207 4734192  5687020
             512       4 1082507 1458090  4163357  4099771 3158966 1696534 2860238  2235086  3122224  1741948  1528669 3556580  4384358
             512       8 1245780 1684557  4610256  4927617 4099771 1983258 3710197  2922519  4340054  1961520  1766304 4163357  4660280
             512      16 1300082 1655979  4650188  5453155 4163357 2216629 4296637  3259661  4131319  2124526  1795846 4660280  4494470
             512      32 2047551 1783912  4871723  7900804 4690818 3012719 5331314  3459188  5453155  2811557  1924603 4532414  5331314
             512      64 1329871 1842059  4973263  5870558 5079126 2449212 4131319  2942541  5019764  2256220  2107844 4784885  6018636
