	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Thu Apr 30 22:49:14 2015

	Excel chart generation enabled
	Auto Mode
	Command line used: /opt/iozone/bin/iozone -Ra -b 431_6.xls -f 431_6.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  587635 1304314  3057153  4018152 3057153 1452528 2203800  1933893  3791156  1526887  1392258 2923952  4018152
              64       8 1066042 1143223  4564786  4897948 3541098 1690338 2444640  2358717  4274062  1780008  1722886 3588436  4274062
              64      16 1124074 1599680  4274062  4564786 3541098 1879725 2006158  2133730  3958892  1780008  1933893 3791156  4274062
              64      32 1124074 1599680  4564786  5283570 4018152 1879725 2923952  2067979  3738358  1780008  2561267 3791156  4564786
              64      64 1163036 1638743  5283570  5389653 4564786 1991276 2892445  2067979  4018152  2133730  1892980 4018152  4564786
             128       4 1032829 1291158  3759450  3785961 3053774 1487977 2464907  2066432  2969325  1710838  1543594 3468030  3759450
             128       8 1057236 1598754  4759253  5325799 4267461 2035099 3036502  2673584  4934216  1967960  1778862 3895854  4557257
             128      16 1206978 1778862  4407601  4596273 4012317 2035099 3036502  2843510  4267461  1802755  1967960 2660335  4934216
             128      32 1206978 1684006  4596273  4889281 4407601 1997245 3277486  2499332  4407601  2286447  2027414 3982553  4759253
             128      64 1175271 1755594  4889281  5545860 4759253 2132084 3560017  2409592  4596273  2248149  2453642 4104338  4889281
             128     128 1254941 1939522  5325799  5784891 5325799 2326073 3982553  2326073  4596273  2377579  2132084 4717434  5325799
             256       4 1148625 1325925  3823789  4132864 3087188 1514860 2692393  2533571  3159869  1967260  1445521 3935921  4350555
             256       8 1219045 1855098  5022044  5022044 3994490 2045979 3810220  3123106  3950402  2049885  1884399 3454704  4755158
