	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Thu Apr 30 16:21:48 2015

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 8388608 kilobytes.
	Command line used: /opt/iozone/bin/iozone -Ra -g 8G -b 662_128.xls 662.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  688639 1947927  4018152  5389653 3541098 1879725 3203069  2467108  3791156  1780008  1933893 3738358  4564786
              64       8 1083249 2133730  5860307  7100397 5389653 2298136 4018152  2892445  5389653  2278628  2444640 5283570  6421025
              64      16 1188789 2379626  6271021  8182586 5860307 2467108 4274062  2923952  6421025  2298136  2892445 6421025  7100397
              64      32 1232453 2467108  7100397  9318832 6421025 2561267 4897948  2892445  6421025  2467108  3791156 6421025  7100397
              64      64  983980 2467108  9006179  9006179 7100397 2662899 4897948  2772930  7100397  2379626  2772930 7100397  7940539
             128       4 1152564 1997245  4717434  5325799 3867787 1997245 3468030  2511022  3759450  1911894  1852520 4596273  4717434
             128       8 1254941 2336194  6406138  6727225 5122535 2453642 3895854  3106789  6114306  2248149  2367096 6114306  6114306
             128      16 1294270 2420455  6727225  7082197 5784891 2558895 5122535  3380677  6812590  2558895  2714132 6406138  6727225
             128      32 1172704 2558895  7176872  8036304 6727225 2784517 5545860  3445772  7476717  2920861  3036502 6727225  7476717
             128      64 1346196 2558895  8036304  8548124 7176872 2784517 6114306  3468030  7476717  2286447  4267461 7476717  8036304
             128     128 1346196 2905056 10779307 11720614 9129573 2784517 6114306  2905056  5545860  3277486  3657016 4934216  7476717
             256       4 1169901 2081678  5022044  5022044 3756894 1985448 3823789  2754556  3879045  2114473  1967260 4572895  4734192
             256       8 1237306 2366082  6107548  6554972 5569035 2557711 4929815  3236056  5569035  2392442  2247235 6249745  5971678
             256      16 1325925 2613746  6936061  7120034 6213578 2849590 5687020  3605511  7120034  2726577  2692393 6719046  6936061
