compute-652-1
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri May  1 22:53:45 2015

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 8388608 kilobytes.
	Command line used: /opt/iozone/bin/iozone -Ra -g 8G -b 652_8.xls -f 652_8.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  467002 1017549  2467108  3738358 2561267 1163036 1828508  1638743  3057153  1101022  1168097 2298136  3022727
              64       8  760859  863676  4018152  4897948 3203069 1336792 2467108  1947927  3541098  1163036  1452528 3203069  3738358
              64      16  799377 1330167  3738358  4564786 2772930 1002351 4897948  3791156  9006179  2561267  2278628 5283570  5735102
              64      32  818885  987600  4564786  4988978 3791156 1526887 5735102  3738358  7940539  2689580  3203069 5735102  4897948
              64      64  852702 1255511  4988978  5860307 3958892 1526887 5860307  2801873  7100397  3363612  2444640 6271021  7100397
             128       4  753179 1319723  3657016  4012317 2843510 1391557 5325799  4104338  3895854  1705404  1732927 4135958  4444086
             128       8  895074 2985839  9129573 10567140 7476717 2132084 3982553  3053774  6114306  2066432  1727352 2920861  4934216
             128      16  934004 1373754  4267461  4596273 3867787 1598754 2969325  2166499  4407601  1363288  1622919 4104338  2286447
             128      32  901083 1421023  4557257  4934216 4012317 1727352 6406138  4407601  6727225  2558895  2248149 5122535  9287508
             128      64 1663139 2985839  9795896 11470204 6406138 2511022 4407601  1911894  4934216  1440082  2784517 4934216  5325799
             128     128  857887 1455701  4759253  5074121 4267461 3657016 3657016  2409592  5122535  2202044  1967960 2784517  5325799
             256       4  785584 1523457  7735574  7965107 5320671 1814348 3511189  2392442  3654598  1778290  1570244 3756894  3879045
             256       8  985259 1413179  4652146  3935921 3557725 1662639 3499745  2392442  3043436  1579483  1455317 4332998  4264168
             256      16  988889 1368162  9518507 10245071 8815202 3756894 4332998  2842047  5810112  1938842  1985448 5142301  5217259
             256      32 1108314 1610276  4572895 10245071 8815202 3770085 5242734  2097948  5717301  2205688  1894373 5117791  5347168
             256      64  999940 3123106  6554972  4929815 6073004 2509882 4907284  3043436  5971678  2305128  1911233 5347168  4572895
             256     128 1319408 1561112  6249745 10651598 9518507 3879045 5687020  2911402  5022044  1881098  2486631 3605511  4264168
             256     256 1012194 3123106  9114515  9778562 6073004 2563818 4264168  1956506  4929815  2114473  2097948 5022044  4132864
             512       4  948197 1604029  4099771  4485083 3284589 1635797 3437042  2413429  3437042  1560891  2391924 4340054  4457157
             512       8  982917 1741948  4732165  5566231 4340054 1882427 4204110  2830083  4228947  1701913  3068685 5509113  4742616
             512      16  982917 2449212  5278892  5822804 4973263 2141475 4650188  2830083  4827914  1861217  1940253 5177083  5278892
             512      32 1537424 1783912  5566231  5684095 4927617 2116152 4871723  2782414  5509113  2032051  1954379 4701087  5453155
             512      64 1541840 1821745  5744919  5886650 4827914 2265742 4827914  2906696  6246213  2073249  2116152 5509113  4411377
             512     128 1451192 1801873  5624545  5684095 5278892 2307123 8955098  5331314  8394979  3259661  2474613 4827914  4420457
             512     256 1019791 3264616  4262523  5227492 5079126 2198475 8394979  4340054  7758090  2548017  3177664 5127637  5227492
             512     512 1075459 3081897  5566231  5744919 5227492 2265742 4784885  2009236  5115422  2178404  2065273 5115422  5214798
            1024       4  966071 1357961  7472033  7631350 6441107 2976816 3908759  2094282  3020783  1397280  1805514 5336651  5690162
            1024       8 1078919 1914144  5472650  5277632 4531485 2020395 4265934  3066069  4694950  1723636  1932227 5277632  4926518
            1024      16 1020956 1848247  5071963  4898425 5018624 2098375 4926518  3066069  4949226  1928757  1973059 5018624  4715569
            1024      32 1153071 2073055  5251818  5690162 5303701 2183727 5330028  3458646  5018624  1995982  2010935 5226256  5536137
            1024      64 1072185 2024203  5507740  5958564 5444898 2333199 5479632  3366474  6569179  2068064  2051273 5720477  5444898
            1024     128 1061060 2085132  8750850  8988941 6128613 2813041 5219904  3241960  6244448  2150918  2138070 5444898  5564829
            1024     256 1129123 1861867  5120336  4972145 4943530 2173780 4526709  2715230  5303701  2255990  2265510 5175871  4898425
            1024     512 1128826 2019445  4995276  5303701 4898425 2182617 4995276  2504637  4898425  1815435  3029305 4995276  5277632
            1024    1024 1061060 1813136  5277632  5144870 5226256 2011877 4854136  2159571  4943530  2182617  2146618 5018624  5194651
            2048       4  860904 1630338  4293237  4472047 3506373 1734357 3592903  2540795  3500658  1542232  1643438 3969827  3835124
            2048       8 1003519 1840251  7470770  6261772 6629029 2892423 4653758  2968386  4394265  1754908  1815360 5107566  4741090
            2048      16 1103423 1889224  5119743  4934459 4581773 1988500 4451191  2142232  4572018  1818820  1779262 4581773  8857376
            2048      32 1082427 1928672  5475461  5564129 5187767 2235910 5319484  3319389  5041616  2005679  1988500 5107566  5492967
            2048      64 1067230 1948358  5475461  5920802 5461535 2296279 5447681  3351769  5535444  2060526  2033695 5172149  4923146
            2048     128 1115459 1948358  5044577  5659442 5389574 2298737 5095447  3281349  6024617  2017929  3677503 5135046  5184636
            2048     256 1140942 1856959  4481379  4751580 4686767 2031771 5119743  2829540  5071381  1984365  2019827 4509611  4643695
            2048     512 1147956 1840251  5044577  5238385 5251194 2202092 4707314  2716781  5119743  2248199  2306143 4572018  4796687
            2048    1024 1079028 1906837  5172149  5267294 5144271 2199836 9062970  2133188  5535444  1542232  2582036 5200329  5169036
            2048    2048 1214673 1903035  5306340  5225638 5222461 2172024 5517666  2233585  5319484  2250555  2056087 5131978  5172149
            4096       4  873546 1573564  3679713  3764373 2915397 1461767 3602551  2360908  3187474  1560415  2649249 3956848  3834958
            4096       8 1396532 1732574  5211065  5664678 4752639 2062457 4730393  3195181  3965067  1622762  3399392 5211065  4807163
            4096      16 1018440 1644351  5225329  4875373 4612286 1998169 4607338  3016231  4540367  1803697  2037749 5556581  5672159
            4096      32 1032518 1859332  4659824  4841028 4581535 1954077 5306022  3381993  5204750  2011740  3562214 4623457  4675041
